市区町村,種別,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
北海道福島町,住宅地,100,96.63461538,93.75,90.86538462,87.74038462,84.61538462,82.21153846,80.28846154,77.40384615,75,72.35576923
宮崎県川南町,住宅地,100,99.03846154,98.07692308,97.11538462,96.15384615,95.19230769,94.23076923,93.75,93.26923077,93.26923077,93.26923077
北海道洞爺湖町,住宅地,100,97.84172662,93.04556355,88.24940048,84.17266187,80.09592326,76.25899281,72.90167866,71.22302158,69.78417266,68.82494005
北海道士別市,住宅地,100,98.5645933,97.6076555,96.6507177,95.6937799,94.73684211,93.77990431,90.90909091,89.95215311,88.99521531,88.03827751
秋田県八郎潟町,住宅地,100,95.6937799,91.86602871,88.75598086,86.50717703,84.21052632,81.96172249,79.80861244,78.22966507,76.69856459,75.83732057
茨城県河内町,住宅地,100,99.18854415,98.32935561,97.56563246,96.849642,96.08591885,95.3221957,94.65393795,94.03341289,93.46062053,92.88782816
宮城県岩沼市,工業地,100,100,102.8571429,105.7142857,110.4761905,116.1904762,120,123.8095238,129.5238095,135.2380952,142.8571429
北海道本別町,住宅地,100,97.61904762,95.23809524,92.85714286,90.47619048,89.52380952,89.52380952,89.52380952,88.0952381,85.71428571,81.42857143
北海道長沼町,住宅地,100,98.1042654,96.20853081,94.31279621,92.41706161,91.46919431,90.52132701,90.52132701,90.52132701,90.52132701,90.52132701
福島県中島村,住宅地,100,100,99.76415094,99.43396226,99.24528302,99.52830189,99.29245283,99.05660377,98.82075472,98.58490566,98.3490566
北海道古平町,商業地,100,92.45283019,86.32075472,80.18867925,73.58490566,68.86792453,64.1509434,61.32075472,59.43396226,57.54716981,55.66037736
北海道紋別市,住宅地,100,96.71361502,93.89671362,92.01877934,90.61032864,89.20187793,87.79342723,86.38497653,84.97652582,84.03755869,83.09859155
長野県信濃町,住宅地,100,97.37950398,94.8525971,92.41927936,90.07955077,87.78661675,85.44688816,83.10715957,80.81422555,78.5680861,77.02386523
兵庫県多可町,住宅地,100,98.13084112,96.26168224,94.39252336,92.99065421,92.05607477,91.58878505,91.12149533,90.65420561,89.71962617,88.78504673
北海道当別町,住宅地,100,93.95348837,89.30232558,84.65116279,80.46511628,76.27906977,72.55813953,70.69767442,69.76744186,68.8372093,67.44186047
宮城県蔵王町,住宅地,100,98.23255814,97.20930233,96.04651163,95.02325581,93.95348837,92.88372093,92.3255814,91.39534884,90.23255814,88.8372093
鹿児島県屋久島町,住宅地,100,96.27906977,93.48837209,91.47286822,90.07751938,88.86821705,87.1627907,85.48837209,84.21705426,82.97674419,81.76744186
鹿児島県中種子町,住宅地,100,95.64411492,91.84430028,88.64689527,85.26413346,82.02038925,79.6107507,77.84986098,76.04263207,75.20852641,74.42075996
山形県三川町,住宅地,100,99.72209356,99.58314034,99.90736452,100.2315887,100.5558129,100.8800371,101.2042612,101.5748031,101.9453451,102.3622047
北海道釧路市,工業地,100,99.53703704,99.53703704,99.53703704,99.53703704,99.53703704,99.53703704,99.07407407,98.61111111,98.14814815,97.68518519
北海道余市町,住宅地,100,96.06481481,93.42592593,89.35185185,87.03703704,83.7962963,80.78703704,78.7037037,77.31481481,75.92592593,74.07407407
北海道栗山町,住宅地,100,98.14814815,96.2962963,94.44444444,91.66666667,88.88888889,87.03703704,85.18518519,84.25925926,83.33333333,82.40740741
鹿児島県志布志市,住宅地,100,96.60493827,93.82716049,91.35802469,89.50617284,87.5,85.18518519,82.96296296,80.86419753,79.66049383,78.51851852
秋田県美郷町,住宅地,100,95.43378995,91.78082192,88.58447489,85.66210046,83.37899543,81.59817352,80.0456621,78.58447489,77.62557078,76.71232877
北海道北斗市,工業地,100,97.27272727,95.45454545,93.63636364,91.81818182,90,89.09090909,88.18181818,87.27272727,86.36363636,85.45454545
宮城県塩竈市,工業地,100,104.5454545,106.3636364,109.0909091,111.8181818,114.5454545,114.5454545,114.5454545,114.5454545,114.5454545,113.6363636
徳島県阿南市,工業地,100,99.09090909,98.18181818,97.27272727,96.36363636,95.45454545,94.54545455,93.63636364,92.72727273,91.81818182,90.90909091
北海道根室市,住宅地,100,100.3030303,100.6060606,100.6060606,100.6060606,100.6060606,100.6060606,100.6060606,100.6060606,100.6060606,100.6060606
福島県磐梯町,住宅地,100,99.32157395,98.6883763,97.78380823,96.65309815,95.20578924,93.71325192,92.98959747,92.26594301,91.58751696,90.95431931
山口県美祢市,住宅地,100,98.30699774,96.61399549,95.03386005,93.4537246,91.87358916,90.29345372,88.71331828,87.69751693,86.07223476,85.39503386
北海道旭川市,工業地,100,100,100,100,100,100,100,100,100,100,100
長野県須坂市,工業地,100,99.0990991,99.0990991,99.0990991,100.9009009,100.9009009,100.9009009,103.6036036,106.3063063,109.009009,111.7117117
北海道美瑛町,住宅地,100,94.59459459,93.69369369,92.79279279,91.89189189,91.89189189,90.99099099,90.99099099,90.99099099,90.99099099,90.99099099
青森県南部町,住宅地,100,96.84684685,94.59459459,93.24324324,92.34234234,91.44144144,90.54054054,89.63963964,88.73873874,87.83783784,87.38738739
